,Date,Adams,Billings,Bottineau,Bowman,Burke,Divide,Dunn,Golden.Valley,Hettinger,McHenry,McKenzie,McLean,Mercer,Mountrail,Renville,Slope,Stark,Ward,Williams
78,6-2008,0,410763,8471,2070319,239794,131373,264528,56776,0,0,1218645,1527,0,666506,6243,130450,60588,625,2031085
79,7-2008,0,425360,8004,2223229,249769,144447,306291,57014,0,0,1238425,1488,0,752371,6097,130428,62978,804,1919218
80,8-2008,0,416612,8649,2208910,230310,145197,371903,55256,0,0,1284363,1416,0,828413,6114,121478,61648,743,1973103
81,9-2008,0,404648,8662,2275281,240148,162114,348266,55930,0,0,1278211,1237,0,848723,6041,147318,55427,1062,1961088
82,10-2008,0,451939,9065,2303172,266130,160428,433174,58822,0,0,1416196,1566,0,1043330,6189,178515,56622,1734,1885935
83,11-2008,0,401807,8549,2090600,262617,166217,446397,56101,0,0,1407937,1382,0,1118468,6201,191088,43673,1953,1876721
84,12-2008,0,336626,8542,2141081,242831,181029,281577,45369,0,0,1163345,953,0,1055500,5974,188211,31358,1678,1838242
85,1-2009,0,373650,8803,2082666,209466,143215,372170,55039,0,0,1313921,741,0,958409,5849,179521,51380,1493,1724785
86,2-2009,0,337293,7891,1756172,189552,143651,367461,52092,0,0,1271950,4818,0,888294,5360,191979,46719,1430,1543996
87,3-2009,0,372025,8453,1783350,219809,154892,424158,57575,0,0,1378469,4281,0,1135083,5955,256818,44439,1598,1735244
88,4-2009,0,369042,8673,1699499,243813,204991,429522,52634,0,0,1432932,8000,0,1050736,5784,194849,49488,1351,1760858
89,5-2009,0,391963,8927,1561179,240272,165345,494907,50104,0,0,1538225,5207,0,1179721,5968,212943,51321,2031,1753335
90,6-2009,0,367661,8372,1558528,238420,161181,471323,51562,0,0,1411805,6755,0,1304372,5745,177389,51010,1722,1656185
91,7-2009,0,383849,8624,1598617,239316,192551,540542,53344,0,0,1536859,6446,0,1535955,5893,161884,46860,1458,1676423
92,8-2009,0,377463,8974,1601876,252388,191294,565050,52441,0,0,1636692,4639,0,1592355,6566,152545,45362,1429,1655231
93,9-2009,0,358175,8374,1496600,241959,193375,581620,49296,0,0,1535385,4099,0,1574798,5885,148011,44786,1389,1545635
94,10-2009,0,368597,8632,1451399,240327,193072,572218,51525,0,0,1604114,8246,162,1614376,6134,132954,48386,1420,1609271
95,11-2009,0,361772,8412,1468903,239867,200664,624687,54288,0,0,1639061,4666,424,1606573,5830,118928,47712,1364,1633798
96,12-2009,0,348561,8513,1473423,236630,202492,580130,55046,0,0,1673315,8929,706,1675465,6311,128073,48159,1344,1678275
97,1-2010,0,291675,8485,1373748,198948,179868,526969,51114,0,0,1654148,29877,184,1681018,6056,124176,45477,1202,1640222
98,2-2010,0,300525,7809,1328998,195369,172722,577901,48211,0,0,1638589,16114,3,1613759,5907,111628,42918,1144,1551981
99,3-2010,0,341566,9062,1437199,246594,228216,665721,51544,0,0,1929946,12191,0,1899868,6283,123816,52254,1336,1634580
100,4-2010,0,335282,9909,1354086,249353,230968,676027,47124,0,0,1747644,17639,150,1984785,6070,120853,50772,1429,1640379
101,5-2010,0,348214,10149,1389893,287842,290760,728344,47741,0,0,2075455,17681,155,2175780,6021,122920,52016,1470,1804697
102,6-2010,0,325524,9711,1326091,265117,283913,791101,43324,0,0,2049637,15168,150,2278118,6186,119576,49953,1400,1594760
103,7-2010,0,342965,10197,1370601,278102,372539,838854,48050,0,0,2359918,13740,155,2288367,6495,124905,50986,1352,1926442
104,8-2010,0,298561,10922,1425691,312798,355462,936188,44640,0,0,2306647,15509,155,2375043,5965,122432,47647,1487,1985061
105,9-2010,0,320769,10401,1349277,287034,368093,1003092,45593,0,0,2313387,17159,150,2466105,5106,110006,74774,1322,1917408
106,10-2010,0,328155,30781,1403458,284599,401423,1036411,48560,0,0,2534777,18629,155,2531821,5265,100803,77281,1330,1985917
107,11-2010,0,315483,8957,1353491,283170,426436,971733,45022,0,0,2611266,15914,150,2522606,5446,83557,68120,1277,2087035
108,12-2010,0,313121,8615,1266361,277231,435086,980225,43037,0,0,2528038,18397,155,2503674,7288,83606,64491,1150,2098951
109,1-2011,0,307970,8318,1262290,262883,478225,957189,41000,0,0,2425513,13366,0,2497550,7763,53562,70991,851,2146089
110,2-2011,0,240266,7564,1105275,221757,437161,924118,33177,0,0,2237597,13932,0,2282188,7242,50903,68203,666,1948940
111,3-2011,0,315978,7984,1190637,247804,464000,986594,34874,0,0,2882259,13300,0,2619119,7510,62742,126609,746,2190688
112,4-2011,0,322613,6165,1009352,243921,479503,985784,40423,0,0,2867953,12894,0,2457492,6150,64905,126249,657,2028530
113,5-2011,0,321945,5637,960886,228662,343730,1206735,42041,0,0,3056264,12572,0,2622093,6911,58560,139610,879,2160999
114,6-2011,0,309198,5684,948503,190380,218610,1271013,38299,0,0,3413828,27583,0,2761760,6477,47041,149583,1093,2423373
115,7-2011,0,334947,6262,984437,257843,443257,1336301,37374,0,0,4058029,23495,0,2894826,6452,51647,162092,737,2804627
116,8-2011,0,364663,6589,1152774,266623,548933,1388703,45504,0,0,4225104,22462,0,3129760,7638,51348,176793,996,3037921
117,9-2011,0,352587,7375,1039012,307092,555166,1297574,39464,0,0,4291013,26047,0,2928847,11881,42974,184313,1064,3346296
118,10-2011,0,395036,7050,992725,323795,627802,1603037,46409,0,0,4726767,37913,0,3218214,11453,38739,177520,1165,3540050
119,11-2011,0,431933,5697,989358,343804,657382,1650626,52552,0,0,4730139,59688,0,3151504,10610,39615,191866,1113,3463289
