Time,"north dakota,divide","north dakota,williams","north dakota,mckenzie","north dakota,golden valley","north dakota,slope","north dakota,bowman","south dakota,harding","north dakota,billings","north dakota,stark","north dakota,dunn","north dakota,burke","north dakota,hettinger","north dakota,adams","south dakota,perkins","north dakota,mountrail","north dakota,mclean","north dakota,ward","north dakota,mercer","north dakota,renville","north dakota,morton","north dakota,grant","south dakota,corson","north dakota,sioux","north dakota,oliver","north dakota,bottineau","north dakota,mchenry","north dakota,burleigh","north dakota,sheridan","north dakota,emmons","south dakota,campbell","north dakota,pierce","north dakota,rolette","north dakota,kidder","north dakota,wells","north dakota,logan","north dakota,benson","north dakota,mcintosh","south dakota,mcpherson","north dakota,towner","north dakota,stutsman","north dakota,ramsey","north dakota,eddy","north dakota,foster","north dakota,la moure","north dakota,dickey","north dakota,cavalier","south dakota,brown","north dakota,nelson","north dakota,griggs","north dakota,barnes","north dakota,walsh","north dakota,ransom","north dakota,sargent","north dakota,pembina","north dakota,steele","south dakota,marshall","north dakota,grand forks","north dakota,cass","north dakota,traill","north dakota,richland","south dakota,roberts","minnesota,kittson","minnesota,marshall","minnesota,polk"
6/10/2005,0.077074501,0.141050879,0.148793222,0.064135129,0.055694258,0.077666429,0.053239084,0.107392826,0.014862205,0.083239596,0.0592126,0.028215224,0.013385827,0.015748032,0.155415,0.089256823,0.087373947,0.063329584,0.108267717,0.011738116,0.003705419,0.034387304,0.011579435,0.047559056,0.103369348,0.094746354,0.125984252,0.137281753,0.054855644,0.049212599,0.093385826,0.17655966,0.082064742,0.113385827,0.072069118,0.099081367,0.062992127,0.051574804,0.10208099,0.076220473,0.097159732,0.130446193,0.137795276,0.071653544,0.094857284,0.078937008,0.064960631,0.123299928,0.123523623,0.054625985,0.06975351,0.094050744,0.084108804,0.131060921,0.137795276,0.120078739,0.122911465,0.131796026,0.146259842,0.103112112,0.073490817,0.196850395,0.213090554,0.182086613
6/18/2005,0.059144596,0.069534507,0.055332079,0.072644146,0.105050894,0.078024338,0.08428776,0.103893264,0.058169291,0.042057243,0.017509324,0.043635172,0.059186353,0.069830087,0.052536466,0.051990077,0.025221457,0.03104612,0.020878072,0.054899388,0.046626526,0.11257382,0.077813803,0.044881891,0.014121876,0.009080518,0.086150997,0.04260405,0.069116361,0.085705633,0.012389996,0.0164042,0.116056146,0.095570866,0.11920385,0.062007875,0.10269029,0.100885828,0.051875869,0.143025871,0.088779529,0.144774518,0.143946851,0.114862206,0.100885827,0.057448177,0.090920277,0.134668828,0.142913385,0.113517061,0.072235537,0.093503938,0.116141733,0.077807709,0.132283465,0.120500563,0.132513923,0.117547807,0.151574801,0.137045369,0.126968504,0.133366144,0.1230315,0.173228345
6/26/2005,0.104420186,0.05228115,0.06483225,0.040259081,0.050797005,0.026127416,0.004652828,0.086614174,0.0492126,0.068278965,0.130671166,0.02712161,0.012992126,0.000207211,0.093520072,0.068007767,0.100425972,0.067632172,0.180052495,0.028215223,0.003705419,0.011072835,0.006600278,0.046929135,0.237664041,0.079643733,0.065539602,0.065804275,0.035958006,0.057843732,0.101096739,0.192228687,0.087384457,0.11579435,0.026684165,0.170556806,0.042322835,0.123734532,0.198501397,0.065860518,0.183525136,0.066683072,0.11023622,0.013287402,0.014517717,0.1901429,0.049458662,0.064265864,0.05,0.010252625,0.065966754,0.035687072,0.079478347,0.102255798,0.024212599,0.091113612,0.073074708,0.029340083,0.078149607,0.089801276,0.103674543,0.252460631,0.204232283,0.151574807
7/4/2005,0.073729421,0.051123206,0.035518658,0.03962408,0.08738237,0.057742782,0.055386543,0.070866142,0.064763781,0.065491814,0.064028182,0.070866142,0.05472441,0.039059263,0.057828838,0.124635962,0.12038632,0.074690664,0.140897161,0.074730243,0.068164274,0.049704725,0.055118111,0.078582678,0.157309141,0.145224791,0.087386137,0.131186727,0.067629047,0.057692308,0.128184345,0.10531496,0.122218418,0.085433071,0.085192477,0.097351468,0.084645669,0.103444881,0.12031033,0.093532059,0.120669291,0.092519686,0.096456695,0.088287403,0.121309057,0.106138519,0.099778543,0.139647986,0.098622047,0.09112533,0.127610408,0.093257874,0.117036507,0.179341069,0.096653544,0.091394826,0.113789131,0.080146233,0.117322835,0.121109861,0.117782154,0.312007873,0.25836614,0.214566928
7/12/2005,0.057981389,0.032075035,0.044034578,0.059944121,0.054061841,0.046886185,0.045275591,0.097987752,0.032775591,0.026871642,0.031081642,0.034230097,0.021259843,0.043099877,0.031496063,0.02869162,0.033772146,0.018897638,0.049152948,0.011519394,0.002315887,0.008858268,0.009379342,0.002519685,0.041766519,0.023939548,0.024316814,0.023059617,0.003062117,0.017565112,0.023390459,0.036253282,0.03038343,0.011122047,0.041229222,0.026485326,0.035104987,0.054330709,0.047012507,0.023453319,0.048523623,0.022190408,0.021161418,0.034153543,0.06409941,0.038004179,0.085014765,0.037285781,0.010826772,0.009186352,0.015148922,0.05511811,0.084108806,0.011189391,0.002362205,0.092941508,0.005761475,0.01256093,0.004724409,0.098612674,0.111220471,0.049212599,0.046751969,0.027559056
7/20/2005,0.071939872,0.064034276,0.096841836,0.122174245,0.14394085,0.150918636,0.197655692,0.150262467,0.078346457,0.106299213,0.079983424,0.127749118,0.180157481,0.139660175,0.073383245,0.104691139,0.05960876,0.097300337,0.090073968,0.070647419,0.120194535,0.143762303,0.134784623,0.064724411,0.053235194,0.023622048,0.095414545,0.062570305,0.12152231,0.099636585,0.048402039,0.033136483,0.126412189,0.068208662,0.099518813,0.054491769,0.093503938,0.106102363,0.067739695,0.078683915,0.060334647,0.048675735,0.076771654,0.048818898,0.068036418,0.048609996,0.094242126,0.049212599,0.048031496,0.05831693,0.0259329,0.022760827,0.058160344,0.004144219,0.033267717,0.067772779,0.027847129,0.040026247,0.043897639,0.042932133,0.043635172,0.022637795,0.031496064,0.040354332
7/28/2005,0.068092341,0.055697082,0.070780555,0.067564136,0.070674092,0.070866143,0.075071583,0.089785652,0.028149607,0.035683039,0.08029424,0.028215223,0.038451445,0.056983009,0.058280626,0.071513322,0.078863189,0.051856019,0.081484133,0.014144065,0.005635325,0.047244095,0.01065308,0.050078741,0.089438549,0.058039117,0.041994751,0.054415074,0.013823272,0.013476681,0.077350626,0.087598426,0.069667922,0.048228347,0.028543308,0.075429492,0.036417323,0.035531497,0.112204725,0.05056243,0.090255907,0.042412313,0.030019685,0.036023623,0.037278544,0.085167927,0.026205709,0.069245022,0.027755906,0.033218505,0.055631634,0.04269193,0.053507516,0.022378782,0.023031496,0.0568054,0.03937008,0.019216348,0.043307088,0.028683915,0.05905512,0.059055118,0.052165355,0.056102361
8/5/2005,0.143432354,0.09448819,0.11815303,0.146812294,0.046187825,0.04521594,0.065318541,0.165135608,0.143996063,0.102862143,0.10702445,0.026902887,0.028871392,0.048383756,0.069317155,0.114982204,0.074557087,0.111023623,0.120615604,0.068314378,0.064227265,0.065760334,0.052107458,0.173070868,0.115628209,0.108077217,0.0901652,0.142294713,0.037707787,0.112810418,0.149374711,0.11335302,0.098168435,0.110728347,0.102034122,0.108088761,0.071194225,0.135629921,0.128994905,0.052699664,0.097637795,0.05654975,0.080462599,0.071456693,0.064468504,0.140768118,0.099901576,0.08545623,0.060039372,0.064386484,0.077541938,0.052657481,0.074266286,0.090861998,0.036220473,0.085208099,0.061551757,0.037026622,0.020669292,0.038995127,0.03608924,0.12647638,0.104822835,0.10629921
8/13/2005,0.14262706,0.189381659,0.183798357,0.171450342,0.131937777,0.114411835,0.098612674,0.170603675,0.101377953,0.131171105,0.110547037,0.127952757,0.093569555,0.112823396,0.118820189,0.128734764,0.100393702,0.095838021,0.089716058,0.077865267,0.064150071,0.045029528,0.059286709,0.110400263,0.092519686,0.078168657,0.098502394,0.103065241,0.070428697,0.073743187,0.121468273,0.143044619,0.083618625,0.103248032,0.06408574,0.100393701,0.096784778,0.065157481,0.184113014,0.052868392,0.121555116,0.058518255,0.07898622,0.029429134,0.058932087,0.194681021,0.026328741,0.109773045,0.080905513,0.042486877,0.110407394,0.014148622,0.02773801,0.057190221,0.048228347,0.05624297,0.110044171,0.032995876,0.062401576,0.008436446,0.060367455,0.078740155,0.107283465,0.15059055
8/21/2005,0.127057982,0.104214914,0.124743239,0.088646178,0.071826388,0.049510857,0.03829635,0.103018374,0.055905513,0.075990502,0.071798592,0.040791777,0.016272966,0.012639868,0.084871564,0.08850178,0.069943406,0.068616423,0.053447865,0.043307087,0.034583913,0.033341536,0.033348773,0.065826773,0.053491955,0.037719076,0.058900726,0.056102362,0.060367456,0.02998183,0.038906903,0.048884515,0.032951045,0.037893701,0.043635172,0.048407302,0.027395014,0.013188977,0.051991664,0.026659168,0.026574803,0.021295634,0.033464568,0.009645669,0.006397638,0.022256147,0.00738189,0.021074572,0.015354331,0.014025591,0.010955153,0.006274606,0.005726557,0.012225446,0.007086614,0.007311586,0.024582293,0.02240345,0.032086614,0.035995501,0.03116798,0.014271654,0.038385827,0.041338584
