"","X","TargetID","ProbeID","AVG_Signal.C.1","AVG_Signal.C.2","AVG_Signal.C.3","AVG_Signal.L.1","AVG_Signal.L.2","AVG_Signal.L.3","AVG_Signal.M.1","AVG_Signal.M.2","AVG_Signal.M.3","AVG_Signal.H.1","AVG_Signal.H.2","AVG_Signal.H.3","FDR","P.Value","Slope"
"148",4877,"CBLB",5270132,786.9,609.6,621.8,563.2,654.9,686.3,514.8,425.8,548.4,438.9,425.5,419.9,0.0307719572419587,0.000396654775005702,-24.4018372703412
"389",12598,"GYPC",7210398,688.6,653.7,617.8,655.6,774.4,778,542.8,429.2,547.1,399.3,365.8,441.1,0.0307719572419587,0.000396461325378478,-29.3131233595801
"4",60,"ABCA1",4060358,1650.9,1314.1,1172.7,1203.1,1296.8,1250.9,1161.3,951,1018.3,921.3,873.9,819,0.0308366550368736,0.000398190979397572,-48.19343832021
"78",2182,"B3GALNT1",2970040,439.7,385.8,374.4,313,386.4,370.2,321.3,274,326,280.3,254.2,289.7,0.0308366550368736,0.000400382796734064,-11.5855643044619
"99",2876,"C10ORF67",4850762,369.6,304.3,312.3,302.2,354.3,322.9,288,243.9,297.4,230.9,244.9,235.3,0.0308366550368736,0.000400746842923679,-9.3989501312336
"325",10385,"FILIP1L",4490709,834.9,772.6,639.4,926.2,1130.5,970.4,1136.1,895.7,1088.3,1299.5,1198.4,1292,0.0308366550368736,0.00039933543627723,42.9433070866142
"609",31315,"MAL",6330196,3443.8,2346.6,2207,3005.2,3556,3451.7,4384.8,3263.7,3909.6,4540,4291,4886.2,0.0308366550368736,0.000399838448847061,172.392388451444
"34",773,"AK5",2680220,161.4,150.2,145.9,137,151.7,143.4,141.5,136.6,129.7,121,127.4,131.6,0.0308375796567587,0.000401410499515318,-2.36850393700788
"174",5605,"CDKN3",5260014,142,114.6,132.1,135.2,163.6,138.2,166.6,147,162.1,172.7,172.4,184.7,0.0308460088584329,0.000402172040353593,4.26692913385827
"315",10028,"FAT3",2340253,150.2,158,145.7,135.9,150.5,144.7,121.3,129.8,124.9,118.5,119.6,130.3,0.0309092927843317,0.00040365029564307,-2.80262467191601
"662",33588,"NAIP",3060288,110.1,110.4,110.2,117.6,106.4,113.7,113.1,117.1,115.4,133.6,121.6,126.1,0.0310351642964337,0.0004059498911627,1.58005249343832
"147",4867,"CBFA2T2",2940762,290.2,258.6,241.7,224.9,253.4,256.7,230.4,200.3,241.2,180,178.7,209.6,0.0311480061895618,0.000410716900075789,-6.89265091863518
"163",5424,"CD99L2",5420358,1899.2,1662.7,1588.4,1618.2,1886.4,1692.1,1488.1,1075.2,1364,1080,1183,1181.3,0.0311480061895618,0.000409275709837678,-60.7611548556431
"866",40421,"SFTA2",2450162,276.6,203.9,207.8,236,295.4,269.6,383.6,275.6,367.4,359.1,375,420.8,0.0311480061895618,0.000409559554025708,14.9929133858268
"899",41193,"SLC6A8",1780538,428.5,370,343.8,369.3,360.6,387.2,347.1,308.3,343.6,287.5,293.8,300,0.0311480061895618,0.00041007972997526,-8.64199475065617
"955",42839,"TAAR5",6980309,106.7,112.1,112.3,103.3,111.2,111.3,113.5,125.1,113.4,124.2,129.3,126.3,0.0311480061895618,0.000409410845531211,1.71312335958005
"338",11051,"FOXE1",3450692,172.1,167.1,170.1,165.3,157.7,167.9,151.7,151.4,164.8,143.6,136.5,155.5,0.0312720783973335,0.00041301373535772,-2.29711286089239
