"","TargetID","ProbeID","AVG_Signal.C.1","AVG_Signal.C.2","AVG_Signal.C.3","AVG_Signal.L.1","AVG_Signal.L.2","AVG_Signal.L.3","AVG_Signal.M.1","AVG_Signal.M.2","AVG_Signal.M.3","AVG_Signal.H.1","AVG_Signal.H.2","AVG_Signal.H.3","fdr[id, 1]","pval","slp"
"39847","SCAMP3",7200292,7.15796910181901,7.0322711536797,7.02660441282052,6.91184689688539,6.9776544063618,7.0453409419347,6.80472537866259,6.71283468661167,6.89040564064702,6.69616967650166,6.69740454946668,6.88366748345305,0.03777991646126,0.000958767913853884,-0.0301390585718726
"41105","SLC43A3",2600431,5.57519124028321,5.50003297044863,5.44716831328039,5.1834675248691,5.25957653823161,5.27964410128242,5.13579843705026,5.11679548992465,5.08016135674487,5.11799381241676,5.02978411293502,5.10715686108688,0.03777991646126,0.000957225151801385,-0.0356699357829983
"43578","TLN2",1770026,5.53220301439415,5.38035807688425,5.38815807054783,5.40312773090038,5.48769728770944,5.4089638866351,5.41654474791269,5.20784546338396,5.30628553619721,5.22735827760754,5.19794439240125,5.22197613329131,0.03777991646126,0.000960462733168896,-0.0225110757167234
"45387","USO1",110669,7.51108715521972,7.41667909545853,7.35659911039225,7.19082673887623,7.28440930523618,7.22882377045155,7.16526160892386,6.89740186690265,7.00615160083833,7.0207267576413,6.96347376773848,7.04438187651396,0.03777991646126,0.000949927794528682,-0.0383175022215218
"45968","WIPI1",3400598,6.80572255341699,6.55379094373638,6.67884513277359,6.21540777859276,6.32579162738281,6.32364185944631,6.24241779906146,6.09356977004514,6.18723690162606,5.99694947733855,5.94384869316632,6.20859002609663,0.03777991646126,0.000948618788410239,-0.0520481015636973
"4678","CALR",2760370,7.77216306897661,7.63675211243578,7.62632651188224,7.45489354540645,7.44137903902411,7.41077048065615,7.34329685467277,7.12447826249342,7.33823815006559,7.21303165983487,7.18311170174328,7.30471767459855,0.0379154077957713,0.000965451606912165,-0.0389239674448853
"39984","SCTR",7000433,7.2480772387581,7.57322289043534,7.24086472489816,7.54147087577266,7.43838353004431,7.69843743537861,7.84200380023007,7.72484426873626,7.84255368241203,7.87207397986687,7.82895394720888,7.86010789400131,0.0380213582381997,0.000969066370707133,0.0461981376978456
"43722","TMEM144",1340026,6.01077685814036,5.91242133976753,5.69406878246856,5.65983058712702,5.8394781901101,5.80784214458098,5.61931331802975,5.33897934826693,5.60653709021737,5.42802897306969,5.38770092768272,5.50655030512649,0.0380213582381997,0.000969756342444625,-0.0422418253252062
"18062","KIAA1217",1450731,5.67606863608869,5.51745289646471,5.51584517907661,5.50451819713193,5.59433956327482,5.49100171037754,5.53536382303124,5.44068460783496,5.52186083788357,5.35517017814082,5.38678601453564,5.26476058301919,0.0382888849008655,0.000977388858699692,-0.0216723829730817
"41199","SLC7A11",2750128,4.92216831277393,4.95441761409803,4.99450591216637,4.765586907394,4.74406218485471,4.75531284441781,4.69043002993891,4.8023803552758,4.70592008908823,4.70138904372863,4.56538931597625,4.66532410880784,0.0383614630767309,0.000980052170398489,-0.0251494636848268
